 ,Area,Mean,Min,Max,X,Y,Slice
402,0,67,67,67,2372.483,469.799,13
403,0,31,31,31,2379.195,479.866,13
404,0,18,18,18,2362.416,486.577,13
405,0,19,19,19,2369.127,506.711,13
406,0,27,27,27,2362.416,526.846,13
407,0,31,31,31,2308.725,372.483,13
408,0,83,83,83,2221.477,426.174,13
409,0,93,93,93,2238.255,453.020,13
410,0,93,93,93,2221.477,446.309,13
411,0,58,58,58,2214.765,456.376,13
412,0,92,92,92,2208.054,436.242,13
413,0,76,76,76,2201.342,453.020,13
414,0,25,25,25,2194.631,426.174,13
415,0,64,64,64,2184.564,442.953,13
416,0,64,64,64,2194.631,473.154,13
417,0,41,41,41,2191.275,486.577,13
418,0,41,41,41,2208.054,476.510,13
419,0,85,85,85,2231.543,473.154,13
420,0,86,86,86,2228.188,489.933,13
421,0,43,43,43,2221.477,503.356,13
422,0,96,96,96,2221.477,523.490,13
423,0,100,100,100,2214.765,540.268,13
424,0,37,37,37,2197.987,533.557,13
425,0,43,43,43,2194.631,546.980,13
426,0,41,41,41,2177.852,536.913,13
427,0,16,16,16,2147.651,446.309,13
428,0,53,53,53,2140.939,463.087,13
429,0,7,7,7,2120.805,456.376,13
430,0,12,12,12,2120.805,473.154,13
431,0,8,8,8,2124.161,493.289,13
432,0,39,39,39,2134.228,513.423,13
433,0,9,9,9,2144.295,526.846,13
434,0,64,64,64,2134.228,540.268,13
435,0,4,4,4,2120.805,526.846,13
436,0,22,22,22,2104.027,546.980,13
437,0,36,36,36,2053.691,516.779,13
438,0,55,55,55,2053.691,466.443,13
439,0,15,15,15,2020.134,476.510,13
440,0,30,30,30,2033.557,526.846,13
441,0,20,20,20,2006.711,533.557,13
442,0,31,31,31,2016.779,510.067,13
443,0,23,23,23,1976.510,493.289,13
444,0,62,62,62,2093.960,392.617,13
445,0,53,53,53,2080.537,379.195,13
446,0,89,89,89,2073.826,395.973,13
447,0,11,11,11,2060.403,412.752,13
448,0,55,55,55,2060.403,382.550,13
449,0,74,74,74,2050.335,392.617,13
450,0,56,56,56,2016.779,372.483,13
451,0,53,53,53,2013.423,385.906,13
452,0,23,23,23,2003.356,412.752,13
453,0,33,33,33,1986.577,385.906,13
454,0,41,41,41,1969.799,375.839,13
455,0,21,21,21,1973.155,399.329,13
456,0,75,75,75,1956.376,385.906,13
457,0,56,56,56,1946.309,395.973,13
458,0,25,25,25,1912.752,389.262,13
459,0,35,35,35,1932.886,406.040,13
460,0,49,49,49,1916.107,412.752,13
461,0,28,28,28,1899.329,402.685,13
462,0,38,38,38,1882.550,392.617,13
463,0,65,65,65,1882.550,409.396,13
464,0,31,31,31,1848.993,416.107,13
465,0,30,30,30,1852.349,399.329,13
466,0,51,51,51,1812.081,422.819,13
467,0,36,36,36,1785.235,406.040,13
468,0,27,27,27,1771.812,426.174,13
469,0,51,51,51,1765.101,439.597,13
470,0,17,17,17,2093.960,607.383,13
471,0,2,2,2,1996.644,607.383,13
472,0,27,27,27,1919.463,553.691,13
473,0,35,35,35,1899.329,533.557,13
474,0,5,5,5,1885.906,493.289,13
475,0,40,40,40,1869.127,500,13
476,0,25,25,25,1872.483,526.846,13
477,0,21,21,21,1845.638,536.913,13
478,0,32,32,32,1825.503,560.403,13
479,0,59,59,59,1691.275,429.530,13
480,0,33,33,33,1657.718,500,13
481,0,86,86,86,1637.584,449.664,13
482,0,35,35,35,1617.450,453.020,13
483,0,52,52,52,1583.893,466.443,13
484,0,5,5,5,1624.161,533.557,13
485,0,18,18,18,1604.027,546.980,13
486,0,3,3,3,1583.893,553.691,13
487,0,38,38,38,1557.047,557.047,13
488,0,38,38,38,1261.745,506.711,13
489,0,40,40,40,1087.248,513.423,13
490,0,36,36,36,939.597,506.711,13
491,0,43,43,43,4134.228,466.443,14
492,0,35,35,35,4157.718,510.067,14
493,0,47,47,47,4107.382,516.779,14
494,0,54,54,54,4046.980,506.711,14
495,0,84,84,84,4000,506.711,14
496,0,23,23,23,3983.222,466.443,14
497,0,45,45,45,3973.154,479.866,14
498,0,63,63,63,3946.309,463.087,14
499,0,33,33,33,3926.174,476.510,14
500,0,65,65,65,3902.685,453.020,14
501,0,71,71,71,3966.443,520.134,14
502,0,44,44,44,3922.819,530.201,14
503,0,73,73,73,3882.550,530.201,14
504,0,100,100,100,3785.235,543.624,14
505,0,65,65,65,3600.671,416.107,14
506,0,32,32,32,3691.275,557.047,14
507,0,100,100,100,3617.450,546.980,14
508,0,86,86,86,3550.335,553.691,14
509,0,91,91,91,3536.913,590.604,14
510,0,34,34,34,3432.886,597.315,14
511,0,36,36,36,3348.993,600.671,14
512,0,35,35,35,3496.645,493.289,14
513,0,47,47,47,3483.222,510.067,14
514,0,43,43,43,3469.799,486.577,14
515,0,59,59,59,3453.020,503.356,14
516,0,59,59,59,3439.597,476.510,14
517,0,44,44,44,3426.174,500,14
518,0,58,58,58,3416.107,479.866,14
519,0,53,53,53,3402.685,500,14
